depth,porosity,Vp,Gamma
41.93,44.06,2335.4,2.26
43.1,45.67,2224.62,3.373
43.98,45.01,2177.48,3.24
45.95,43.66,2173.71,2.269
46.26,44.38,2056.67,1.808
51.38,44.94,2179.28,2.353
52.41,48.2,2053.61,2.97
53.8,46.14,2304.25,2.02
55,46.5,2165.03,2.533
55.9,47.18,2185.62,2.095
57.76,46.54,2298.8,2.29
58.7,47.18,2227.16,2.388
59.28,45.54,2079.65,2.411
62.33,47.11,2083.11,3.544
62.86,46.95,2322.22,4.374
63.86,43.08,2367.45,2.854
64.8,45.41,2174.77,4.359
67.33,44.47,2241.92,2.744
68.31,44.98,2225.8,3.233
71.13,42.23,2260.24,2.816
74.1,44.12,2187.14,2.504
75,41.82,2430.88,5.227
76.9,43.52,2395.81,5.565
79.8,43.2,2358.7,4.672
80.71,41.77,2510.09,2.652
81.58,44.37,2363.4,3.978
85.1,38.72,2463.4,5.522
86.78,42.33,2538.78,3.634
90.08,40.78,2941.34,4.09
91.86,43.72,2446.58,5.611
93.65,39.55,2556.21,3.94
95.53,37.42,2500.1,5.191
96.46,38.02,2590.07,2.789
98.16,36.21,2492.24,6.705
99.43,35.07,2559.03,7.463
101.25,39.25,2448.64,3.371
102.15,41.29,2381.65,6.857
104.91,43.95,2275.6,2.075
105.88,44.08,2355.67,2.579
107.6,44.13,2374.15,2.688
108.65,45.88,2571.11,2.53
110.58,42.76,2479.74,2.114
114.81,42.25,2587.84,2.302
115.66,42.72,2368.58,3.107
116.6,42.66,2535.89,2.462
118.55,43.25,2376.33,2.035
119.41,43.51,2222.32,2.804
120.35,42.31,2262.1,2.388
121.25,42.86,2484.28,2.838
122.28,44.43,2472.65,2.645
123.1,41.49,2550.74,3.242
125.01,43.2,2552.17,3.691
125.85,41.62,2402.44,2.891
126.9,40.84,2359.55,2.709
127.85,43.55,2516.12,2.864
129.91,43.05,2712.93,3.21
130.73,43.22,2602.38,3.581
131.71,43.96,2664.85,2.26
132.53,43.95,2594.81,3.65
133.3,43.52,2579.4,2.877
134.2,44.07,2492.08,1.981
135.13,45.82,2498.9,2.197
135.86,45.27,2448.72,2.801
138.08,42.36,2555.72,2.363
145.25,42.9,2229.1,2.223
147.2,41.6,2348.43,2.32
148.73,42.86,2542.63,2.733
149.08,42.41,2357.49,2.12
150.85,42.7,2565.07,2.345
152.83,42.22,2337.76,2.173
153.68,41.36,2389.16,2.554
154.55,41,2473.5,2.126
155.6,42.93,2548.85,2.482
156.4,40.76,2433.35,2.167
158.35,42.19,2311.14,2.454
160.26,40.6,2434.54,2.69
161.03,41.16,2512.78,2.936
162.95,42.26,2386.89,2.311
163.93,42.21,2587.03,2.831
164.8,40.92,2844.94,2.439
166.78,41.6,2606.65,1.81
169.51,43.85,2613.47,2.967
170.5,41.62,2569.78,3.8
172.25,40.05,2576.89,2.638
180.7,42,2409.01,2.725
181.68,43.62,2537.13,2.509
182.58,42.23,2381.39,2.073
183.51,43.39,2495.32,1.866
184.1,42.46,2378.17,1.905
185.1,36.2,2514.48,2.688
185.85,44.31,2472.26,1.705
186.88,43.02,2583.05,1.344
187.85,41.33,2330.72,2.099
188.01,41.57,2556.28,1.823
190.68,44.46,2209.42,2.74
193,43.51,2550.95,2.548
196,43.5,2572.42,2.442
196.93,43.45,2593.15,2.191
198.78,43.19,2587.31,2.007
199.73,42.64,2527.98,1.734
